,runr_id,2018_beg_pace,2018_end_pace,school_id,team_size,gender,pace,num_races,rank,pct_rank,pr_time,race_diff,pr_flag,goal_set,log_entries_sept,log_entries_nov,log_entries_all,max_effort_log_entries_sept,max_effort_log_entries_nov,max_effort_log_entries_all,sum_effort_log_entries_nov,2018_improvement
51,94582,5.981732804232805,5.916898934163366,906,123,1,5.91,9,60.1,0.31,72350,2364.44,3,0,4.0,66.0,366.0,1.0,14.0,117.0,210.0,0.06
52,94587,5.3473612903225805,5.247701612903226,1123,154,1,5.34,11,22.7,0.09,60832,400.09,5,0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.1
53,94625,6.332830726621048,6.351298677709967,1034,135,0,6.36,8,22.8,0.16,100660,1129.75,3,0,25.0,137.0,998.0,24.0,109.0,706.0,520.0,-0.02
54,94646,7.101583333333334,7.5696666666666665,984,255,1,7.24,6,219.5,0.81,116825,-3698.17,1,0,0.0,0.0,64.0,0.0,0.0,33.0,0.0,-0.47
55,94647,5.669529209621994,6.018537037037038,984,255,1,5.85,7,92.1,0.25,98603,2872.14,4,0,0.0,0.0,121.0,0.0,0.0,89.0,0.0,-0.35
56,94648,5.748361111111111,6.532111111111111,984,255,1,6.14,4,77.2,0.29,103180,1229.0,2,0,0.0,0.0,93.0,0.0,0.0,28.0,0.0,-0.78
57,94650,5.169444444444444,5.122562126642772,1120,206,1,5.2,8,8.4,0.04,63600,2428.88,6,0,32.0,150.0,882.0,6.0,29.0,204.0,478.0,0.05
58,94657,5.510895379915998,5.802933691756273,984,255,0,5.73,9,2.4,0.01,98046,2617.56,6,0,0.0,0.0,18.0,0.0,0.0,4.0,0.0,-0.29
59,94665,6.550155316606929,6.690219314878018,1144,276,0,6.54,9,10.3,0.06,108840,-453.33,1,0,28.0,132.0,533.0,6.0,22.0,135.0,412.0,-0.14
60,94668,9.080645161290322,8.808064516129033,977,333,0,8.94,3,34.0,0.87,154400,-2335.33,2,0,0.0,7.0,58.0,0.0,2.0,25.0,23.0,0.27
61,94670,6.249922528689612,6.537564344005022,959,113,0,6.4,9,6.6,0.04,86300,-3207.78,1,8,27.0,152.0,936.0,3.0,14.0,191.0,456.0,-0.29
62,94676,6.409704943300671,6.411583034647552,936,225,1,6.35,7,58.0,0.56,103760,-1037.14,3,0,0.0,0.0,280.0,0.0,0.0,76.0,0.0,-0.0
63,94686,6.191440294284098,5.9800268817204305,1068,169,0,6.09,5,12.6,0.1,72400,-1360.6,1,0,27.0,153.0,810.0,0.0,0.0,106.0,459.0,0.21
64,94687,5.73025,5.560953386153555,1120,206,1,5.66,13,68.2,0.25,63100,3639.38,7,0,32.0,145.0,754.0,14.0,51.0,229.0,491.0,0.17
65,94692,6.0623555555555555,6.365133740489216,1113,158,1,6.17,8,67.6,0.36,66670,-1731.12,1,0,4.0,26.0,307.0,0.0,0.0,32.0,63.0,-0.3
66,94700,8.517850877192982,7.633053037624214,904,175,0,7.96,8,107.9,0.49,81000,-4371.5,1,0,0.0,0.0,33.0,0.0,0.0,14.0,0.0,0.88
67,94702,8.542473118279569,7.83494623655914,1134,115,0,8.14,7,20.4,0.56,139700,-3586.29,1,7,0.0,57.0,240.0,0.0,24.0,64.0,203.0,0.71
68,94705,6.563620071684588,6.3550179211469535,1134,115,1,6.45,8,25.1,0.42,115650,-643.0,1,8,0.0,67.0,308.0,0.0,10.0,71.0,211.0,0.21
69,94711,8.380913978494624,7.845430107526882,1134,115,0,8.11,4,17.2,0.57,131790,-8732.5,0,2,0.0,46.0,182.0,0.0,9.0,21.0,143.0,0.54
70,94712,9.024777777777778,9.577944444444444,984,255,0,9.3,4,227.2,0.91,153083,727.75,1,0,0.0,0.0,12.0,0.0,0.0,3.0,0.0,-0.55
71,94714,6.6915625,6.5217004067588515,1120,206,0,6.55,11,26.7,0.13,71858,-2120.91,1,0,30.0,136.0,926.0,0.0,0.0,73.0,408.0,0.17
72,94728,5.4748214285714285,5.454449337389172,906,123,1,5.38,11,20.3,0.14,61876,2554.91,6,0,7.0,34.0,246.0,2.0,6.0,59.0,103.0,0.02
73,94735,7.4122358387799565,7.697458854759195,1038,214,1,7.46,9,206.9,0.85,85893,3505.33,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.29
74,94737,5.766154633896569,5.958998542008383,950,218,1,5.88,7,60.9,0.21,74180,-1137.14,1,0,23.0,57.0,253.0,1.0,2.0,51.0,173.0,-0.19
75,94738,6.106592592592592,6.265018518518519,1126,104,0,6.25,9,11.0,0.05,106730,-1184.0,1,0,4.0,33.0,293.0,0.0,7.0,87.0,102.0,-0.16
76,94741,8.262007168458782,7.627598566308244,1134,115,0,7.85,8,16.1,0.45,131600,-5718.38,0,6,0.0,53.0,298.0,0.0,0.0,2.0,159.0,0.63
77,94749,6.524673611111111,6.27383437087342,1120,206,0,6.4,11,30.7,0.12,70180,3548.18,6,0,22.0,128.0,818.0,6.0,27.0,174.0,379.0,0.25
78,94755,6.77311644464017,6.86795197740113,1037,97,0,6.86,6,55.2,0.21,106400,1156.67,3,0,30.0,121.0,936.0,0.0,0.0,41.0,363.0,-0.09
79,94758,5.256374202476231,5.332425328554361,1068,169,1,5.3,8,36.9,0.15,58700,-811.12,2,0,34.0,158.0,979.0,0.0,5.0,133.0,479.0,-0.08
80,94766,6.260485414926205,6.196293859649123,951,95,1,6.1,8,37.6,0.46,65828,-393.62,2,2,3.0,9.0,283.0,1.0,3.0,133.0,30.0,0.06
81,94767,7.6,8.157222222222222,931,111,1,7.88,2,80.0,0.88,136800,0.0,0,0,0.0,0.0,62.0,0.0,0.0,11.0,0.0,-0.56
82,94770,5.9511024289962675,6.120382317801673,1068,169,0,6.13,9,15.9,0.09,71300,-286.67,1,0,46.0,240.0,893.0,0.0,0.0,130.0,720.0,-0.17
83,94771,7.094193548387096,6.716666666666667,1123,154,1,6.9,3,34.0,0.84,119700,-3571.67,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38
84,94867,5.1937246117084825,5.34415651135006,962,322,1,5.29,8,47.2,0.22,60570,736.0,5,0,33.0,155.0,1130.0,5.0,26.0,138.0,453.0,-0.15
85,94957,6.194581863792632,6.459045825486503,959,113,1,6.37,8,75.8,0.35,84300,-3151.25,2,7,26.0,124.0,723.0,0.0,1.0,17.0,373.0,-0.26
86,94969,5.804672134274363,5.926155913978495,1068,169,0,5.89,11,2.1,0.12,68700,39.0,1,0,46.0,252.0,1599.0,8.0,37.0,246.0,584.0,-0.12
87,94972,6.568888888888889,6.794472222222222,993,253,0,6.69,5,42.4,0.15,111775,-4309.2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.23
88,94978,6.991666666666667,7.5633333333333335,993,253,0,7.24,5,98.4,0.36,109562,-13845.6,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.57
89,94982,4.8812500000000005,4.963497759856631,980,340,1,4.97,11,11.5,0.03,58270,-200.0,5,0,0.0,0.0,276.0,0.0,0.0,115.0,0.0,-0.08
90,94988,6.175000000000001,6.494732974910395,1005,165,0,6.41,8,56.4,0.28,110780,-157.0,4,0,40.0,231.0,1166.0,11.0,51.0,383.0,753.0,-0.32
91,94995,5.042120669056153,5.118679808841098,1068,169,1,5.11,8,16.0,0.05,57000,15.0,1,0,46.0,257.0,849.0,31.0,68.0,240.0,669.0,-0.08
92,94999,8.0225,8.54047275944887,1126,104,0,8.27,8,115.1,0.62,135699,-8918.25,0,1,19.0,65.0,307.0,0.0,0.0,7.0,195.0,-0.52
93,95003,5.612893772162678,5.459402310222431,1068,169,1,5.52,7,27.4,0.16,66000,1593.29,3,6,41.0,224.0,1138.0,11.0,90.0,483.0,725.0,0.15
94,95005,9.040681818181818,8.660277777777779,993,253,0,8.8,6,257.7,0.88,126340,-12453.33,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38
95,95020,5.555451902414361,5.404814814814816,941,362,1,5.48,9,37.6,0.25,67755,-996.11,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15
96,95028,6.778796296296297,6.305185286434603,941,362,0,6.47,8,23.9,0.16,81596,-2288.12,1,0,0.0,0.0,6.0,0.0,0.0,2.0,0.0,0.47
97,95030,6.367706674251043,6.311396011396011,941,362,1,6.35,8,129.0,0.35,74640,3124.38,6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06
98,95034,7.92,6.618333333333333,941,362,1,7.15,3,217.0,0.61,75110,-6982.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3
99,95039,5.067274547764938,5.074563918757467,1068,169,1,5.09,9,10.6,0.04,60800,1249.44,5,0,47.0,245.0,1200.0,8.0,39.0,204.0,761.0,-0.01
100,95041,7.97638888888889,7.883055555555556,1126,104,0,8.05,5,89.0,0.62,129760,-5223.4,0,0,24.0,100.0,389.0,0.0,9.0,22.0,302.0,0.09
101,95042,7.7643586461888505,7.005876068376068,941,362,1,7.33,6,217.7,0.73,72320,-8040.67,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.76
102,95051,5.984126984126984,6.271711057304278,939,147,1,6.21,5,77.6,0.29,74620,254.0,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.29
103,95052,6.916666666666666,5.9533102918586795,1068,169,1,6.36,6,100.2,0.41,71070,-1500.0,1,1,14.0,37.0,262.0,1.0,8.0,60.0,120.0,0.96
104,95059,7.107349260523322,6.501923076923077,941,362,1,6.87,8,189.6,0.52,79290,2766.25,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.61
105,95066,6.433569444444444,6.360010351820411,1120,206,0,6.44,11,29.5,0.13,70820,-3084.73,0,0,11.0,96.0,780.0,6.0,34.0,331.0,322.0,0.07
106,95068,8.266666666666666,8.190694444444444,941,362,0,8.22,6,118.0,0.56,87120,-7096.83,0,0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.08
107,95071,6.623655913978495,6.48763440860215,1134,115,1,6.6,3,43.3,0.45,110120,-4366.33,0,2,0.0,60.0,264.0,0.0,4.0,65.0,181.0,0.14
108,95072,6.288888888888889,6.544166666666667,931,111,1,6.44,5,121.8,0.46,114050,1460.0,1,0,0.0,0.0,96.0,0.0,0.0,21.0,0.0,-0.26
109,95075,8.142550505050504,8.275277777777777,993,253,0,8.21,5,240.0,0.76,138016,-16.2,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.13
110,95079,5.9819892473118275,5.6544026284348865,986,213,1,5.81,8,43.5,0.2,74580,3925.25,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33
111,95081,7.569555555555556,7.8910833333333334,984,255,1,7.65,5,250.6,0.91,127850,-246.8,0,0,0.0,0.0,35.0,0.0,0.0,5.0,0.0,-0.32
112,95082,6.028905913978495,6.055456989247312,1123,154,1,6.06,5,19.4,0.36,72126,656.0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03
113,95085,10.156666666666666,10.079166666666667,941,362,0,9.81,3,118.3,0.91,106770,-6726.67,0,0,0.0,0.0,14.0,0.0,0.0,1.0,0.0,0.08
114,95095,8.19611111111111,7.8264814814814825,941,362,0,7.96,7,103.1,0.5,88400,-3186.57,2,0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.37
115,95097,5.82265503875969,6.336333333333334,1140,167,1,6.16,5,59.2,0.54,78332,5259.4,3,0,33.0,188.0,916.0,0.0,0.0,2.0,564.0,-0.51
116,95102,5.714886933854676,5.682859270560884,1034,135,0,5.72,8,1.2,0.02,90530,1005.38,5,0,27.0,130.0,637.0,5.0,24.0,106.0,395.0,0.03
117,95106,5.516751973684211,5.538061332767403,1075,199,1,5.51,10,26.4,0.19,65800,-1748.1,2,0,23.0,68.0,402.0,5.0,18.0,55.0,210.0,-0.02
118,95107,5.46296600877193,5.236532317015657,1075,199,1,5.29,10,7.7,0.06,62500,-452.0,3,0,27.0,68.0,540.0,3.0,5.0,149.0,204.0,0.23
119,95111,5.5590789473684215,5.467376615261272,1075,199,1,5.41,12,27.8,0.16,58848,147.5,4,1,42.0,217.0,1158.0,9.0,41.0,212.0,643.0,0.09
120,95120,9.516083333333334,8.696824596774194,1113,158,1,9.04,5,174.2,0.97,93556,0.0,0,0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.82
121,95175,6.015657407407407,5.877532340046172,1120,206,1,5.89,9,58.9,0.23,64020,5147.11,5,0,30.0,155.0,1052.0,17.0,54.0,289.0,526.0,0.14
122,95176,5.223718207159917,5.218930704898447,1068,169,1,5.23,9,23.4,0.1,60200,465.44,5,0,41.0,208.0,764.0,7.0,38.0,196.0,561.0,0.0
123,95178,6.353888888888889,6.444444444444445,1005,165,1,6.4,2,211.0,0.45,114211,-894.5,0,0,20.0,78.0,382.0,10.0,39.0,162.0,260.0,-0.09
124,95179,5.87034135166094,6.190425925925926,984,255,1,6.03,7,120.0,0.33,101185,931.43,2,0,0.0,0.0,107.0,0.0,0.0,61.0,0.0,-0.32
125,95180,7.157762886597938,7.941166666666668,984,255,0,7.48,6,105.5,0.43,124951,-2569.67,1,0,0.0,0.0,62.0,0.0,0.0,37.0,0.0,-0.78
126,95181,5.211972222222222,5.244305555555556,980,340,1,5.24,10,41.0,0.13,63450,1779.8,4,0,0.0,0.0,155.0,0.0,0.0,22.0,0.0,-0.03
127,95200,7.716388888888889,8.350014336917562,1073,167,0,8.0,7,204.3,0.7,88050,-544.29,0,0,3.0,38.0,112.0,3.0,10.0,29.0,118.0,-0.63
128,95204,6.397671957671958,6.21625925925926,993,253,0,6.3,7,28.4,0.12,107400,-2665.43,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18
129,95208,6.51439393939394,6.6314166666666665,957,263,0,6.55,5,58.0,0.26,88980,-2342.2,1,0,42.0,190.0,255.0,3.0,26.0,26.0,577.0,-0.12
130,95211,9.120396283655671,8.630035612535613,941,362,0,8.97,7,117.6,0.76,103190,1666.43,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49
131,95284,6.77053430883494,6.703722222222223,992,231,0,6.8,7,76.7,0.31,114550,-3546.14,0,0,23.0,54.0,295.0,1.0,1.0,23.0,163.0,0.07
132,95286,8.987385452462773,9.96811111111111,984,255,1,9.38,6,314.2,0.99,153838,3869.33,1,0,0.0,0.0,50.0,0.0,0.0,18.0,0.0,-0.98
133,95288,6.7275,6.357903225806451,958,255,1,6.35,3,78.0,0.28,84733,1334.33,1,0,0.0,0.0,66.0,0.0,0.0,43.0,0.0,0.37
134,95289,5.641944444444444,5.6658333333333335,1108,150,1,5.65,4,110.2,0.26,101310,1465.0,2,0,0.0,0.0,388.0,0.0,0.0,40.0,0.0,-0.02
135,95290,5.48125,5.773944444444444,1005,165,1,5.59,5,28.4,0.2,100820,4033.6,3,0,0.0,0.0,118.0,0.0,0.0,64.0,0.0,-0.29
136,95303,8.194388888888888,9.081777777777777,984,255,0,8.45,6,155.5,0.73,140490,594.5,1,0,0.0,0.0,73.0,0.0,0.0,58.0,0.0,-0.89
137,95308,6.616,7.188666666666666,984,255,1,6.79,6,170.7,0.63,113170,-979.67,1,0,0.0,0.0,25.0,0.0,0.0,7.0,0.0,-0.57
138,95309,6.160833333333334,5.710833333333333,1068,169,1,5.94,2,50.0,0.11,68530,0.0,0,0,0.0,4.0,87.0,0.0,2.0,13.0,13.0,0.45
139,95310,8.028765642775882,7.077606837606838,941,362,0,7.5,6,84.3,0.31,80830,1108.0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95
140,95312,5.806128293241695,6.531777777777778,984,255,0,6.17,3,16.3,0.05,101375,-2830.0,0,0,0.0,0.0,92.0,0.0,0.0,47.0,0.0,-0.73
141,95317,7.971759259259259,9.16475925925926,1073,167,0,8.54,8,231.8,0.84,92750,-816.25,0,0,0.0,8.0,45.0,0.0,6.0,6.0,29.0,-1.19
142,95320,6.889351851851852,7.672259259259259,1073,167,0,7.29,8,132.4,0.43,79910,730.0,1,0,0.0,7.0,27.0,0.0,0.0,5.0,18.0,-0.78
143,95321,7.648981481481482,7.083188951663527,941,362,0,7.33,7,70.4,0.59,92121,-4269.86,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.57
144,95323,5.556388888888889,5.260833333333333,986,213,1,5.31,6,27.2,0.13,67167,-803.83,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3
145,95324,7.211687447280836,7.325372871300949,951,95,0,7.21,10,52.2,0.44,74519,-5459.4,0,5,9.0,32.0,315.0,0.0,0.0,9.0,96.0,-0.11
146,95327,6.878123781676414,6.799749103942652,904,175,0,6.82,9,70.2,0.33,73500,-1422.22,3,0,0.0,0.0,68.0,0.0,0.0,24.0,0.0,0.08
147,95328,7.187777777777778,7.920555555555556,1073,167,0,7.54,6,104.3,0.49,83540,0.0,0,0,0.0,4.0,70.0,0.0,0.0,1.0,12.0,-0.73
148,95335,5.878100358422938,5.7491995221027485,986,213,1,5.81,7,41.1,0.22,71800,1777.71,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13
149,95343,7.109166666666667,7.020555555555555,1108,150,0,7.06,4,125.0,0.39,111670,-12980.0,0,0,0.0,0.0,400.0,0.0,0.0,40.0,0.0,0.09
150,95355,7.0487222222222226,7.5393888888888885,984,255,0,7.24,6,60.8,0.28,121659,141.83,2,0,0.0,0.0,40.0,0.0,0.0,19.0,0.0,-0.49
151,95359,5.201754385964913,5.415098566308243,1068,169,1,5.39,6,62.2,0.27,61700,-110.5,1,0,47.0,221.0,1286.0,0.0,1.0,25.0,664.0,-0.21
152,95361,7.971616161616161,7.82,993,253,0,7.9,4,237.2,0.65,126533,-596.75,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15
153,95368,5.665111111111111,6.147055555555555,984,255,1,5.85,6,76.8,0.23,99365,869.33,2,0,0.0,0.0,44.0,0.0,0.0,23.0,0.0,-0.48
154,95371,6.069401308304892,6.009714400704696,941,362,1,5.96,10,93.1,0.56,75770,-2603.2,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06
155,95374,5.955853874352168,5.755137395459975,941,362,1,5.74,9,88.0,0.5,97650,-1697.78,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2
156,95379,6.891727150537635,6.664779121863799,1012,138,0,6.75,10,38.2,0.23,79510,-4578.3,0,0,0.0,0.0,254.0,0.0,0.0,2.0,0.0,0.23
